alliance,members
Oneworld,"ForeverAir,CSA Czech Airlines,Grape Adventures Airways,American Airlines,AeroExpat,Vulkan Airlines,Cosmic Airways,Fleet Services,JL Air,Flyght,European Southern,American Pacific"
"Golden Sun","Air Bavaria Express,American Chicken,SUPER,Fly or die,Just Go Travel Airways,HK Express,Wiliams International,Starbux Airline,eXtreme eXpress chickenZ,JBL,Cyprus Airways,Grey Wolf Plus"
"Black Mesa","Africa Air Express,MayanAir,Atlantic RIA,Ayanami Yutani,Australian Airlines,Endeavor,Dutch Lion Airlines,Korean Air Lines Co Ltd,Air Invicta,Invicta Skylink,China United Airlines"
Unisky,"Air Canada,Air Chocobo,Sky Chariot,Primrose Airlink,RedJet,Meridional Airlines,Airfare Prime,Legend Air Lines,JC Japan,Piranha,Chariot Auxillery"
"Open Skies","BETAS,All Elite Airlines,Irrationale Europe,KSKAirlines,Aero Condor,Sparrow,Luchia,HJ Airlines,Hopper Airlines,Japan Airlines JAL,Crown Air,AirPhil Express"
"Crown Vector","Hawthorne Air,Saputnik,Simson Air,Plupi,CrownAirways,OccAir,LizAir,RW Air,RW Air Iceland,Austral Jet,MorePaxMoreStacks,Tri Air"
"Sky Team","Umbrella Corporation,Good Speed,We Fly When We Have To,Saguaro Airlines,Meowth,KockaAir,Sprint Air,Skerfor,Sakura,Pegacorn Skies,Piko Airlines"
Elevate,"Vista,Covid Transport,AxCo,Ramirez Air,Elix Airlines,Toast Airlines,Melon,BadenAir,Pixel Airlines,LirinFrance,Meiji Aviation,Onyx"
SkyTrax,"Western Skylink,Harrit Air,HA Airlies,Tyne Tees Airways,Jet Connect,Royal JBL,Tyne Tees Airways Again,NineWest Airline,Skyward,Varsa Air,Nitrz Airways,Pisces Airline"
Airlink,"Schwarzwald Airways,Caribbean International,Liege Air,VKO Airlines,Lightning Air,Buddy,Umayyad Airlines,affougang,Air Embraer,Umayya Ummatic,Schwarzwald Airways UK,geogang"
Liberty,"TransNations,Jade Wings,Bengal Airlines,Needwood Airlines,Perhaps Airways,Shelby Company Limited,TransPacifica Airlines,Allegiance,LE Airlines,Cardinal,SOV Airlines,Aero Triumphus"
"Terra Incognita","Air New Zealand,Sunburnt Air,Peach Aviaton,Treetop Airways,Eurogo,Asores,Lux,MGM AIR,Stealth Air,Orient Express,Unsettling Flight Pals"
ConnectAsia,"JensAir,Jepsair,Jepstar,LionExpress,LionAir,Akasha,DodgyAir,AeroKebab,LionX,Bob Airways,Oregon Airlines,SiberianFly"
"ALA All Latitudes Alliance","Sunshine Psytrips,Regal Air,Air Travelers,German Beer Flights,MexAir,CloudCruiser,Sussyjet,Ionian,United Alliance Airlines"
"Atlantic WIngs","Uniloop,Hungarian,Terceira Airlines,CrazyAirlines,Jamhawks Air,FlyUEasy,FonckWay,Farmville,Canada Fly,Symphony Airways,Fiery Flights"
"Sky union","Nikko Airways,FlyMySky,Balkan Air,Fly Cheap"
Impact,"Air Asia,AEROTRANS,Globus Air,Inter Avia,Stardom,Southwind,Air Pop,UNA,Singapore Airlines Limited"
"Undersky Limits","Sunny Airlines,RDM Airlines,AirWings,PanAir,Okonomiyaki Airlines,FlyIsrael,Fruitylines,Our Lord Air,Alpine express,Matash Airways,highbus,Fly Ethiopia"
StarAlliance,"Speedbird Airways,American Eagle,Air Canadain,Scandinavian Airlines Sk,Paintbrush Airways,LOT Polish,Canada Four Thousand,Canada Jet,Selwyn Air,Karma Airlines,TransAmerican Air,Air Xativa"
"Unconquered Sky","Air Alouette,Cascadiair,Torus Air,Air Mzansi,Irrationale,SevenToSeven,Seafroggys Air,SKS Airline,Pineapple Air,CrazeeJet,Air retisch"
SkyTeam,"ColoradAir,Frontier Air Ways,Nothing,Soulways,Galactic Airlines,Who,Going Home,Tex Connect,magerts,Cupid Stunts,MiKas Airways"
"Star Alliance","Golden Air,Norwegian Air Shuttle,Dutch Jet,SCANJET,Mediterranean Express,Gardenair"
"World Link","Aerocafe,Viva Aerobus,Gateway Airlines,Luzon Pacific,Air Roma,ErzAir,AeroToscana,Highline Airlines,Northern Air Transportation,Cobalt Air,East Asian Air,Dev Airways"
Airbuds,"Doischlines,Oceanic Air,Llama Avion,FlySuomi,Karebare Air,Link Airlines,Fingerline Flights"
"Seven Summits","Nordica Airlines,SJet,Rasul Air,Fly California,Air Shinny"
"One World","expressJET,First Class,islaAIR,SunshineExpress"
"United Air Alliance","Blue Ridge Airways,Blue Atlantic,Atlantic Shuttle,United Airlines Owie,Mitten Airlines,Northwest Airways,Ecuadair"
"Flying Womp Womps","Valaita,Hvalir,Orca,Whale"
"FlightSync Union","Pakistan International Airline,Starlux,Buckeye Air,SkyJet Airways,NorthStar Scandinavia,Wits End Airways,SkyJet Singapore,EssexAir,Mega Air,Airdynonymous,Bhangu Travel"
ThreeSixFive,"spekeAir,Andromeda,bratlines,European Airliner,BRAT,Go Wyn Airways,Eshita Air,Carwinair,United Express Airlines"
"The Allies","WaynAir,Pinkm,BAHA Flights,Zephyr Airline,Koala Air,FAB,Edo Airways"
"Orange Skies","KK Sky,Leger Air,Vol Air,Bojinka Transit Systems,Rocky Top Airlines,Al Saud Airways,Liftoff,Confluence Airlines"
"Big Alliance","Sugma Airlines,Air Clayton,Vangard Airlines"
"United Skies","ALPHA ONE,Fiorentina Air,Air Egypt,Dobrolyot,Tormes Airways,Sukhoi Airlines"
FlightExchange,"Canada Place Airlines,Frontier,InterFlight,Raptor Air"
Kiwiana,"All White Air,Merian,All Black Air"
LSA,"Fighter Jet Air,Mrabcom,TransNorthern Air,Armin Airways,Triangle airlines,Tar Heel Air,Mozart"
AtouNora,"Atou,Nora,Hapag Lloyd"
"Great Panic","Mint Air,Swiss,Kryvyi Rih Express,DAJ Aviation Crew,Air Emirates"
CLOUD,"AirHeir,Heirlines,Karibik Air"
Snakepit,"Snakeair t,KA,OKK,Dowie Airlines"
"Wanna be a Bee","UAL,FrisBa,FeisBee"
"sky prompters","higher,higher norway,Master airlines"
"Latin American Group","Latin Air,BCD Airlines,Sun Airways,PagaFly"
"SAS airlines allience","Flight path,flight international,Yiskindagood"
"North Alliance","DeltaCenter,Atlas Airways"
Firstones,"Royal Seal Airways,croxis holdings"
"fly alliance","Fly airline"
"Qweenz Elite",LinkAir
"AFK Cooperation","Xanandra Travel,Incubus Fragrant Air"
Airlink,
"The Club","Happy travels"
"Prost Alliance","Templar Airlines,Prost Air"
"XSET Team","XSET Air,SEN Air"
"White Europe Alliance","Norsk Airlines"
"Skyteam Asia","CHINA EASTERN AIRLINE,Fuzhou air"
CCSR,"NerdLine,Olympus Wings"
"World travel",
SkyNetwork,"Sarius Air"
"InterSky Alliance",InterSky
"Annette Fly","AIR ANNETTE,Planes for Cool people"
"Eastern Star","Pink Sky,Blue Skies"
"Cute Cozy Cuddly Cats UwU",UwU
"Sky Venture","TAF Linhas Aereas"
"We Dont Fly To Africa","Agartha Airlines"
ASIA,"Ogura Toast,AsFar"
OrangeOne,"mkj air,airRalf"
"Northern Air Collective","Joint Air Network for Employee Transportation,Quebec Airlines,Olympus Regal Airways,Osama Bin Flying Air"
Volare,MODA
"North Atlantic Alliance","Soon Airways,Soon Airlines"
SKYBUDDIES,"PLC AIRWAYS"
